('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.9710560480753581, 0.3620408234772859]
('192.168.137.1', 64572)#pos#blue#[0.9703598022460938, 0.3625117266619647]
('192.168.137.1', 64572)#pos#blue#[0.971159299214681, 0.3615315755208333]
('192.168.137.1', 64572)#pos#blue#[0.97101256052653, 0.36167269106264466]
('192.168.137.1', 64572)#pos#blue#[0.9710479100545247, 0.36184500235098377]
('192.168.137.1', 64572)#pos#blue#[0.9712686538696289, 0.36194593641493056]
('192.168.137.1', 64572)#pos#blue#[0.9710893630981445, 0.3618472629123264]
('192.168.137.1', 64572)#pos#blue#[0.9704058329264323, 0.3623962684913918]
('192.168.137.1', 64572)#pos#blue#[0.9708171844482422, 0.3617220560709635]
('192.168.137.1', 64572)#pos#blue#[0.971399434407552, 0.36228470978913485]
('192.168.137.1', 64572)#pos#blue#[0.9705300649007161, 0.3625005933973524]
('192.168.137.1', 64572)#pos#blue#[0.9715272903442382, 0.3617021631311487]
('192.168.137.1', 64572)#pos#blue#[0.9710979461669922, 0.36222675464771414]
('192.168.137.1', 64572)#pos#blue#[0.9714405059814453, 0.3617773550528067]
('192.168.137.1', 64572)#pos#blue#[0.9715630213419596, 0.36195336801034433]
('192.168.137.1', 64572)#pos#blue#[0.9714727401733398, 0.3614457307038484]
('192.168.137.1', 64572)#pos#blue#[0.9711936950683594, 0.36187998453776044]
('192.168.137.1', 64572)#pos#blue#[0.9712847391764323, 0.36174047964590567]
('192.168.137.1', 64572)#pos#blue#[0.9711775461832682, 0.36208021375868055]
('192.168.137.1', 64572)#pos#blue#[0.970988655090332, 0.36213034170645253]
('192.168.137.1', 64572)#pos#blue#[0.9713050206502278, 0.36220036259403937]
('192.168.137.1', 64572)#pos#blue#[0.9713359832763672, 0.36165313720703124]
('192.168.137.1', 64572)#pos#blue#[0.9714473724365235, 0.3617847583912037]
('192.168.137.1', 64572)#pos#blue#[0.9710519790649415, 0.36167127821180556]
('192.168.137.1', 64572)#pos#blue#[0.970673942565918, 0.3624890362774884]
('192.168.137.1', 64572)#pos#blue#[0.9710952758789062, 0.36197617142288774]
('192.168.137.1', 64572)#pos#blue#[0.9711575190226237, 0.3615595782244647]
('192.168.137.1', 64572)#pos#blue#[0.9714373270670573, 0.3617509064850984]
('192.168.137.1', 64572)#pos#blue#[0.9708773295084635, 0.3619461907280816]
('192.168.137.1', 64572)#pos#blue#[0.9715389251708985, 0.3615750348126447]
('192.168.137.1', 64572)#pos#blue#[0.9713273366292318, 0.3615120216652199]
('192.168.137.1', 64572)#pos#blue#[0.9707441965738932, 0.36224328500253183]
('192.168.137.1', 64572)#pos#blue#[0.9707160949707031, 0.36227343523943867]
('192.168.137.1', 64572)#pos#blue#[0.971144167582194, 0.362225596110026]
('192.168.137.1', 64572)#pos#blue#[0.9712521870930989, 0.361697839807581]
('192.168.137.1', 64572)#pos#blue#[0.9714771270751953, 0.3613850346317998]
('192.168.137.1', 64572)#pos#blue#[0.971342658996582, 0.3617955525716146]
('192.168.137.1', 64572)#pos#blue#[0.9709524790445964, 0.36140515362774883]
('192.168.137.1', 64572)#pos#blue#[0.9707113265991211, 0.36229304560908565]
('192.168.137.1', 64572)#pos#blue#[0.9710575739542643, 0.3614534166124132]
('192.168.137.1', 64572)#pos#blue#[0.9711775461832682, 0.36208021375868055]
('192.168.137.1', 64572)#pos#blue#[0.9711938858032226, 0.3614620632595486]
('192.168.137.1', 64572)#pos#blue#[0.9711860656738281, 0.36164723149052375]
('192.168.137.1', 64572)#pos#blue#[0.9710441589355469, 0.3619108977141204]
('192.168.137.1', 64572)#pos#blue#[0.9710638046264648, 0.36163477014612266]
('192.168.137.1', 64572)#pos#blue#[0.9711366017659505, 0.36248304578993057]
('192.168.137.1', 64572)#pos#blue#[0.9709193547566731, 0.3617038868091725]
('192.168.137.1', 64572)#pos#blue#[0.9714754104614258, 0.36165429574471936]
('192.168.137.1', 64572)#pos#blue#[0.971353276570638, 0.36189151340060766]
('192.168.137.1', 64572)#pos#blue#[0.9711509704589844, 0.3618878965024595]
('192.168.137.1', 64572)#pos#blue#[0.9712201436360677, 0.3613769813820168]
('192.168.137.1', 64572)#pos#blue#[0.9712941487630208, 0.361411370171441]
('192.168.137.1', 64572)#pos#blue#[0.9712553024291992, 0.361792642098886]
('192.168.137.1', 64572)#pos#blue#[0.9712381362915039, 0.3617134659378617]
('192.168.137.1', 64572)#pos#blue#[0.9712869644165039, 0.3620005854853877]
('192.168.137.1', 64572)#pos#blue#[0.970790417989095, 0.3625326651114005]
('192.168.137.1', 64572)#pos#blue#[0.9713279724121093, 0.3616932621708623]
('192.168.137.1', 64572)#pos#blue#[0.9710456212361653, 0.36192361337167245]
('192.168.137.1', 64572)#pos#blue#[0.9714089711507161, 0.3615340056242766]
('192.168.137.1', 64572)#pos#blue#[0.9712381362915039, 0.3617134659378617]
('192.168.137.1', 64572)#pos#blue#[0.971389897664388, 0.3614747224030671]
('192.168.137.1', 64572)#pos#blue#[0.9712615966796875, 0.36159162168149594]
('192.168.137.1', 64572)#pos#blue#[0.9713411966959635, 0.3612736737286603]
('192.168.137.1', 64572)#pos#blue#[0.970806884765625, 0.3623314751519097]
('192.168.137.1', 64572)#pos#blue#[0.9714111963907878, 0.3615366617838542]
('192.168.137.1', 64572)#pos#blue#[0.9714157104492187, 0.3618035775643808]
('192.168.137.1', 64572)#pos#blue#[0.9711429595947265, 0.3615206965693721]
('192.168.137.1', 64572)#pos#blue#[0.9714465459187825, 0.36190400300202547]
('192.168.137.1', 64572)#pos#blue#[0.9710079828898112, 0.36207682291666665]
('192.168.137.1', 64572)#pos#blue#[0.9712369918823243, 0.36181281760886863]
('192.168.137.1', 64572)#pos#blue#[0.9718737284342448, 0.36214633517795136]
('192.168.137.1', 64572)#pos#blue#[0.9713605880737305, 0.36177023428457755]
('192.168.137.1', 64572)#pos#blue#[0.9711809158325195, 0.3618019386574074]
('192.168.137.1', 64572)#pos#blue#[0.9708467483520508, 0.3620867693865741]
('192.168.137.1', 64572)#pos#blue#[0.970667839050293, 0.3625599048755787]
('192.168.137.1', 64572)#pos#blue#[0.9715290069580078, 0.36185022989908855]
('192.168.137.1', 64572)#pos#blue#[0.9709546407063802, 0.3618271721733941]
('192.168.137.1', 64572)#pos#blue#[0.9714852650960286, 0.36141815185546877]
('192.168.137.1', 64572)#pos#blue#[0.9710952758789062, 0.36197617142288774]
('192.168.137.1', 64572)#pos#blue#[0.9709698994954427, 0.3620901319715712]
('192.168.137.1', 64572)#pos#blue#[0.9710969924926758, 0.36187195954499424]
('192.168.137.1', 64572)#pos#blue#[0.9716039657592773, 0.36158390751591435]
('192.168.137.1', 64572)#pos#blue#[0.9713127772013347, 0.36184873227719905]
('192.168.137.1', 64572)#pos#blue#[0.9714390436808268, 0.3615664446795428]
('192.168.137.1', 64572)#pos#blue#[0.9712142944335938, 0.3618378250687211]
('192.168.137.1', 64572)#pos#blue#[0.9710638682047527, 0.36209773310908566]
('192.168.137.1', 64572)#pos#blue#[0.9711833953857422, 0.36185486404984085]
('192.168.137.1', 64572)#pos#blue#[0.9715957005818685, 0.3615133780020255]
('192.168.137.1', 64572)#pos#blue#[0.9707669576009115, 0.36251438282154225]
('192.168.137.1', 64572)#pos#blue#[0.9715529123942057, 0.3615597760235822]
('192.168.137.1', 64572)#pos#blue#[0.9706672032674154, 0.36222432454427084]
('192.168.137.1', 64572)#pos#blue#[0.9712375005086263, 0.3619269476996528]
('192.168.137.1', 64572)#pos#blue#[0.9714326858520508, 0.36163431803385415]
('192.168.137.1', 64572)#pos#blue#[0.971084721883138, 0.36188645539460357]
('192.168.137.1', 64572)#pos#blue#[0.9712390899658203, 0.3616911146375868]
('192.168.137.1', 64572)#pos#blue#[0.9710126241048177, 0.36213568228262444]
